provider_id,provider_name,provider_specialty,region,contract_id,contract_type,claim_volume,total_billed_amount,total_allowed_amount,total_paid_amount,denial_rejection_rate,actual_discount_rate,contract_target_discount_rate,discount_variance_points,average_paid_per_claim,cost_zscore,cost_outlier_flag
PRV0030,Synthetic Provider Organization 030,Radiology,WEST,CTR015,SHARED_SAVINGS,86,368999.59,280045.32,231770.94,6.98,24.11,23.78,0.33,2695.01,2.12,N
PRV0031,Synthetic Provider Organization 031,Cardiology,WEST,CTR022,FFS,69,160547.11,117905.93,74496.62,10.14,26.56,26.99,-0.43,1079.66,-0.76,N
PRV0032,Synthetic Provider Organization 032,Emergency Medicine,NORTH,CTR022,FFS,80,168547.73,124129.08,106265.1,13.75,26.35,26.99,-0.64,1328.31,-0.31,N
PRV0033,Synthetic Provider Organization 033,Primary Care,EAST,CTR021,VALUE_BASED,79,220887.86,156734.65,102003.95,15.19,29.04,27.61,1.43,1291.19,-0.38,N
PRV0034,Synthetic Provider Organization 034,General Surgery,SOUTH,CTR022,FFS,72,178419.64,130481.23,100557.64,12.5,26.87,26.99,-0.12,1396.63,-0.19,N
PRV0035,Synthetic Provider Organization 035,Dermatology,SOUTH,CTR023,VALUE_BASED,62,193115.66,159906.07,105613.15,14.52,17.2,16.82,0.38,1703.44,0.35,N
PRV0036,Synthetic Provider Organization 036,Radiology,WEST,CTR016,SHARED_SAVINGS,75,287758.21,210714.9,175564.85,8.0,26.77,28.56,-1.79,2340.86,1.49,N
PRV0037,Synthetic Provider Organization 037,Orthopedics,EAST,CTR017,VALUE_BASED,61,501741.79,368339.96,199104.97,8.2,26.59,23.12,3.47,3264.02,3.14,Y
PRV0038,Synthetic Provider Organization 038,Oncology,NORTH,CTR014,FFS,68,110626.46,81212.45,65739.21,25.0,26.59,29.22,-2.63,966.75,-0.96,N
PRV0039,Synthetic Provider Organization 039,General Surgery,SOUTH,CTR008,SHARED_SAVINGS,92,204411.84,150937.6,95523.07,10.87,26.16,27.26,-1.1,1038.29,-0.83,N
PRV0040,Synthetic Provider Organization 040,Orthopedics,NORTH,CTR003,VALUE_BASED,84,142470.63,119537.87,77788.73,19.05,16.1,15.78,0.32,926.06,-1.03,N
PRV0041,Synthetic Provider Organization 041,Dermatology,EAST,CTR007,SHARED_SAVINGS,87,206775.09,148095.39,91485.37,10.34,28.38,29.13,-0.75,1051.56,-0.81,N
PRV0042,Synthetic Provider Organization 042,Primary Care,EAST,CTR019,FFS,92,182976.51,157669.7,129608.03,9.78,13.83,15.06,-1.23,1408.78,-0.17,N
PRV0043,Synthetic Provider Organization 043,Behavioral Health,SOUTH,CTR021,VALUE_BASED,69,94126.15,70745.54,59501.6,7.25,24.84,27.61,-2.77,862.34,-1.14,N
PRV0044,Synthetic Provider Organization 044,Orthopedics,SOUTH,CTR010,VALUE_BASED,85,293661.0,192392.77,135762.69,14.12,34.48,31.99,2.49,1597.21,0.17,N
PRV0045,Synthetic Provider Organization 045,Primary Care,EAST,CTR014,FFS,60,232688.39,159450.21,136763.17,13.33,31.47,29.22,2.25,2279.39,1.38,N
PRV0046,Synthetic Provider Organization 046,Radiology,EAST,CTR022,FFS,69,183992.71,135949.36,78947.53,7.25,26.11,26.99,-0.88,1144.17,-0.64,N
PRV0047,Synthetic Provider Organization 047,Primary Care,WEST,CTR006,VALUE_BASED,84,237040.88,161855.94,109160.32,13.1,31.72,31.42,0.3,1299.53,-0.37,N
PRV0048,Synthetic Provider Organization 048,Emergency Medicine,WEST,CTR006,VALUE_BASED,84,192026.47,131133.92,87718.08,14.29,31.71,31.42,0.29,1044.26,-0.82,N
PRV0049,Synthetic Provider Organization 049,Behavioral Health,NORTH,CTR010,VALUE_BASED,88,206374.21,142072.15,121433.23,12.5,31.16,31.99,-0.83,1379.92,-0.22,N
PRV0050,Synthetic Provider Organization 050,Emergency Medicine,EAST,CTR007,SHARED_SAVINGS,75,117523.07,84945.03,63670.19,16.0,27.72,29.13,-1.41,848.94,-1.17,N
PRV0051,Synthetic Provider Organization 051,General Surgery,SOUTH,CTR001,SHARED_SAVINGS,70,144642.23,101221.28,79128.81,17.14,30.02,29.73,0.29,1130.41,-0.67,N
PRV0052,Synthetic Provider Organization 052,Orthopedics,EAST,CTR021,VALUE_BASED,81,213076.96,154954.64,123425.61,11.11,27.28,27.61,-0.33,1523.77,0.03,N
PRV0053,Synthetic Provider Organization 053,Dermatology,NORTH,CTR001,SHARED_SAVINGS,67,142846.6,100452.86,78458.56,11.94,29.68,29.73,-0.05,1171.02,-0.59,N
PRV0054,Synthetic Provider Organization 054,Dermatology,NORTH,CTR018,VALUE_BASED,79,198158.4,150413.97,125520.82,15.19,24.09,23.6,0.49,1588.87,0.15,N
PRV0055,Synthetic Provider Organization 055,Oncology,WEST,CTR013,FFS,79,201462.56,140737.62,117162.63,11.39,30.14,29.35,0.79,1483.07,-0.04,N
PRV0056,Synthetic Provider Organization 056,Behavioral Health,WEST,CTR023,VALUE_BASED,82,217264.77,176789.06,141335.93,9.76,18.63,16.82,1.81,1723.61,0.39,N
PRV0057,Synthetic Provider Organization 057,Behavioral Health,WEST,CTR014,FFS,80,272317.59,189314.32,156655.63,12.5,30.48,29.22,1.26,1958.2,0.81,N
PRV0058,Synthetic Provider Organization 058,Radiology,NORTH,CTR014,FFS,78,144093.34,103235.55,80161.88,10.26,28.36,29.22,-0.86,1027.72,-0.85,N
PRV0059,Synthetic Provider Organization 059,General Surgery,SOUTH,CTR020,SHARED_SAVINGS,78,112028.04,89514.05,59755.7,11.54,20.1,19.93,0.17,766.1,-1.32,N
PRV0060,Synthetic Provider Organization 060,Oncology,NORTH,CTR012,SHARED_SAVINGS,80,166694.33,123961.06,104169.03,12.5,25.64,25.96,-0.32,1302.11,-0.36,N
PRV0061,Synthetic Provider Organization 061,Orthopedics,WEST,CTR007,SHARED_SAVINGS,70,167340.55,118519.63,87539.51,11.43,29.17,29.13,0.04,1250.56,-0.45,N
PRV0062,Synthetic Provider Organization 062,Pediatrics,SOUTH,CTR007,SHARED_SAVINGS,61,110631.22,77689.38,60781.03,13.11,29.78,29.13,0.65,996.41,-0.91,N
PRV0063,Synthetic Provider Organization 063,Behavioral Health,WEST,CTR002,FFS,72,182267.03,141087.34,102074.75,6.94,22.59,22.72,-0.13,1417.7,-0.15,N
PRV0064,Synthetic Provider Organization 064,Pediatrics,WEST,CTR010,VALUE_BASED,69,157309.05,108256.62,90002.35,10.14,31.18,31.99,-0.81,1304.38,-0.36,N
PRV0065,Synthetic Provider Organization 065,Oncology,NORTH,CTR014,FFS,78,99989.42,70004.01,57873.1,11.54,29.99,29.22,0.77,741.96,-1.36,N
PRV0066,Synthetic Provider Organization 066,Cardiology,SOUTH,CTR016,SHARED_SAVINGS,68,248972.9,179945.03,138859.04,14.71,27.73,28.56,-0.83,2042.04,0.96,N
PRV0067,Synthetic Provider Organization 067,Dermatology,EAST,CTR003,VALUE_BASED,70,138012.56,113810.32,101013.07,10.0,17.54,15.78,1.76,1443.04,-0.11,N
PRV0068,Synthetic Provider Organization 068,Radiology,NORTH,CTR019,FFS,82,222106.46,189677.34,148677.63,15.85,14.6,15.06,-0.46,1813.14,0.55,N
PRV0069,Synthetic Provider Organization 069,Radiology,NORTH,CTR014,FFS,95,336384.81,236312.6,188337.97,9.47,29.75,29.22,0.53,1982.5,0.85,N
PRV0070,Synthetic Provider Organization 070,General Surgery,NORTH,CTR002,FFS,76,217845.13,171631.57,126335.1,15.79,21.21,22.72,-1.51,1662.3,0.28,N
PRV0071,Synthetic Provider Organization 071,Radiology,NORTH,CTR018,VALUE_BASED,96,223852.89,169938.52,131521.58,9.38,24.08,23.6,0.48,1370.02,-0.24,N
PRV0072,Synthetic Provider Organization 072,Emergency Medicine,WEST,CTR016,SHARED_SAVINGS,76,173449.59,123124.76,75717.43,18.42,29.01,28.56,0.45,996.28,-0.91,N
PRV0073,Synthetic Provider Organization 073,Behavioral Health,WEST,CTR024,SHARED_SAVINGS,77,162204.69,117654.71,81840.32,19.48,27.47,27.14,0.33,1062.86,-0.79,N
PRV0074,Synthetic Provider Organization 074,Dermatology,SOUTH,CTR011,FFS,68,163096.83,111579.63,91470.93,7.35,31.59,31.29,0.3,1345.16,-0.28,N
PRV0075,Synthetic Provider Organization 075,General Surgery,SOUTH,CTR023,VALUE_BASED,75,173600.63,145700.01,122011.52,12.0,16.07,16.82,-0.75,1626.82,0.22,N
PRV0076,Synthetic Provider Organization 076,Cardiology,EAST,CTR022,FFS,80,200604.35,144307.65,103125.27,8.75,28.06,26.99,1.07,1289.07,-0.38,N
PRV0077,Synthetic Provider Organization 077,Emergency Medicine,EAST,CTR013,FFS,71,223282.55,161973.69,101427.4,16.9,27.46,29.35,-1.89,1428.55,-0.14,N
PRV0078,Synthetic Provider Organization 078,Dermatology,SOUTH,CTR014,FFS,70,202530.6,144859.8,126861.71,8.57,28.48,29.22,-0.74,1812.31,0.55,N
PRV0079,Synthetic Provider Organization 079,Dermatology,EAST,CTR010,VALUE_BASED,65,115697.3,81137.08,45620.41,13.85,29.87,31.99,-2.12,701.85,-1.43,N
PRV0080,Synthetic Provider Organization 080,Primary Care,NORTH,CTR013,FFS,74,235337.41,168095.57,123938.86,5.41,28.57,29.35,-0.78,1674.85,0.3,N
PRV0081,Synthetic Provider Organization 081,Oncology,WEST,CTR019,FFS,92,313965.3,263069.88,173649.95,11.96,16.21,15.06,1.15,1887.5,0.68,N
PRV0082,Synthetic Provider Organization 082,Emergency Medicine,EAST,CTR021,VALUE_BASED,79,161357.48,120354.1,70524.8,12.66,25.41,27.61,-2.2,892.72,-1.09,N
PRV0083,Synthetic Provider Organization 083,Behavioral Health,NORTH,CTR011,FFS,80,219388.9,148364.0,126763.92,11.25,32.37,31.29,1.08,1584.55,0.14,N
PRV0084,Synthetic Provider Organization 084,Oncology,EAST,CTR016,SHARED_SAVINGS,78,179063.83,127376.79,80044.24,16.67,28.87,28.56,0.31,1026.21,-0.85,N
PRV0085,Synthetic Provider Organization 085,Orthopedics,EAST,CTR015,SHARED_SAVINGS,65,248592.63,188663.38,161788.06,10.77,24.11,23.78,0.33,2489.05,1.76,N
PRV0086,Synthetic Provider Organization 086,Emergency Medicine,EAST,CTR001,SHARED_SAVINGS,84,300715.45,208927.93,177581.85,8.33,30.52,29.73,0.79,2114.07,1.09,N
PRV0087,Synthetic Provider Organization 087,Emergency Medicine,WEST,CTR003,VALUE_BASED,67,361292.73,310194.42,273342.1,17.91,14.14,15.78,-1.64,4079.73,4.59,Y
PRV0088,Synthetic Provider Organization 088,Pediatrics,EAST,CTR001,SHARED_SAVINGS,65,158708.03,110789.76,66070.65,15.38,30.19,29.73,0.46,1016.47,-0.87,N
PRV0089,Synthetic Provider Organization 089,Dermatology,SOUTH,CTR001,SHARED_SAVINGS,89,148229.35,105051.74,72951.66,14.61,29.13,29.73,-0.6,819.68,-1.22,N
PRV0090,Synthetic Provider Organization 090,Orthopedics,WEST,CTR021,VALUE_BASED,76,114973.42,84125.96,65354.91,9.21,26.83,27.61,-0.78,859.93,-1.15,N
PRV0091,Synthetic Provider Organization 091,Radiology,NORTH,CTR019,FFS,65,281421.59,231191.54,199454.04,9.23,17.85,15.06,2.79,3068.52,2.79,Y
PRV0092,Synthetic Provider Organization 092,General Surgery,NORTH,CTR022,FFS,68,216587.56,152639.4,107116.23,11.76,29.53,26.99,2.54,1575.24,0.13,N
PRV0093,Synthetic Provider Organization 093,Orthopedics,NORTH,CTR002,FFS,60,190440.46,147186.99,113139.35,8.33,22.71,22.72,-0.01,1885.66,0.68,N
PRV0094,Synthetic Provider Organization 094,Pediatrics,SOUTH,CTR010,VALUE_BASED,67,192086.82,128928.77,105104.0,14.93,32.88,31.99,0.89,1568.72,0.11,N
PRV0095,Synthetic Provider Organization 095,Radiology,SOUTH,CTR022,FFS,84,276668.68,206581.84,166643.49,10.71,25.33,26.99,-1.66,1983.85,0.85,N
PRV0096,Synthetic Provider Organization 096,Behavioral Health,SOUTH,CTR009,FFS,78,185675.35,122654.48,106520.35,11.54,33.94,32.29,1.65,1365.65,-0.25,N
PRV0097,Synthetic Provider Organization 097,Primary Care,WEST,CTR004,VALUE_BASED,70,177514.76,140944.4,107946.36,11.43,20.6,18.49,2.11,1542.09,0.07,N
PRV0098,Synthetic Provider Organization 098,Dermatology,NORTH,CTR013,FFS,83,175678.69,121653.9,99084.54,10.84,30.75,29.35,1.4,1193.79,-0.55,N
PRV0099,Synthetic Provider Organization 099,Primary Care,WEST,CTR002,FFS,78,355901.07,277634.42,219867.67,12.82,21.99,22.72,-0.73,2818.82,2.34,N
PRV0100,Synthetic Provider Organization 100,Orthopedics,SOUTH,CTR001,SHARED_SAVINGS,68,184940.91,129369.29,104696.05,11.76,30.05,29.73,0.32,1539.65,0.06,N
PRV0101,Synthetic Provider Organization 101,Orthopedics,NORTH,CTR023,VALUE_BASED,59,192368.77,157455.23,98994.08,6.78,18.15,16.82,1.33,1677.87,0.31,N
PRV0102,Synthetic Provider Organization 102,Oncology,NORTH,CTR006,VALUE_BASED,51,119175.66,84572.22,69816.85,1.96,29.04,31.42,-2.38,1368.96,-0.24,N
PRV0103,Synthetic Provider Organization 103,Primary Care,EAST,CTR011,FFS,74,133378.0,93509.1,67310.22,9.46,29.89,31.29,-1.4,909.6,-1.06,N
PRV0104,Synthetic Provider Organization 104,Behavioral Health,EAST,CTR014,FFS,72,167870.83,118111.46,89412.42,15.28,29.64,29.22,0.42,1241.84,-0.47,N
PRV0105,Synthetic Provider Organization 105,Oncology,EAST,CTR023,VALUE_BASED,65,125011.24,105882.17,88803.82,12.31,15.3,16.82,-1.52,1366.21,-0.25,N
PRV0106,Synthetic Provider Organization 106,Orthopedics,EAST,CTR011,FFS,70,160069.52,106988.5,69128.0,15.71,33.16,31.29,1.87,987.54,-0.92,N
PRV0107,Synthetic Provider Organization 107,Orthopedics,SOUTH,CTR007,SHARED_SAVINGS,84,253418.58,178151.54,137767.12,13.1,29.7,29.13,0.57,1640.08,0.24,N
PRV0108,Synthetic Provider Organization 108,General Surgery,NORTH,CTR014,FFS,75,199297.69,143937.52,119679.46,14.67,27.78,29.22,-1.44,1595.73,0.16,N
PRV0109,Synthetic Provider Organization 109,Behavioral Health,NORTH,CTR011,FFS,77,182054.92,125929.52,95670.07,7.79,30.83,31.29,-0.46,1242.47,-0.47,N
PRV0110,Synthetic Provider Organization 110,Cardiology,WEST,CTR003,VALUE_BASED,57,149103.01,125072.11,59527.7,8.77,16.12,15.78,0.34,1044.35,-0.82,N
PRV0111,Synthetic Provider Organization 111,Pediatrics,EAST,CTR021,VALUE_BASED,75,138130.43,100227.76,83412.92,8.0,27.44,27.61,-0.17,1112.17,-0.7,N
PRV0112,Synthetic Provider Organization 112,Orthopedics,EAST,CTR024,SHARED_SAVINGS,81,211106.96,152881.77,110787.18,7.41,27.58,27.14,0.44,1367.74,-0.24,N
PRV0113,Synthetic Provider Organization 113,Orthopedics,NORTH,CTR004,VALUE_BASED,84,203263.16,165724.54,120097.34,9.52,18.47,18.49,-0.02,1429.73,-0.13,N
PRV0114,Synthetic Provider Organization 114,Orthopedics,EAST,CTR012,SHARED_SAVINGS,59,136888.59,105253.8,47890.0,16.95,23.11,25.96,-2.85,811.69,-1.24,N
PRV0115,Synthetic Provider Organization 115,General Surgery,EAST,CTR017,VALUE_BASED,74,185905.9,142923.64,124178.46,8.11,23.12,23.12,0.0,1678.09,0.31,N
PRV0116,Synthetic Provider Organization 116,Cardiology,SOUTH,CTR003,VALUE_BASED,64,296937.88,258761.96,223497.59,20.31,12.86,15.78,-2.92,3492.15,3.54,Y
PRV0117,Synthetic Provider Organization 117,Orthopedics,EAST,CTR004,VALUE_BASED,92,403913.0,338459.94,289791.09,8.7,16.2,18.49,-2.29,3149.9,2.93,Y
PRV0118,Synthetic Provider Organization 118,Radiology,WEST,CTR009,FFS,74,177493.2,118672.89,82740.14,17.57,33.14,32.29,0.85,1118.11,-0.69,N
PRV0119,Synthetic Provider Organization 119,Cardiology,SOUTH,CTR017,VALUE_BASED,92,187382.71,143360.29,116609.76,10.87,23.49,23.12,0.37,1267.5,-0.42,N
PRV0120,Synthetic Provider Organization 120,Radiology,EAST,CTR002,FFS,76,245735.71,189110.56,153254.82,11.84,23.04,22.72,0.32,2016.51,0.91,N
PRV0121,Synthetic Provider Organization 121,General Surgery,NORTH,CTR003,VALUE_BASED,83,234395.71,196408.16,126437.18,15.66,16.21,15.78,0.43,1523.34,0.03,N
PRV0122,Synthetic Provider Organization 122,Orthopedics,NORTH,CTR016,SHARED_SAVINGS,71,116822.1,82385.68,65608.67,18.31,29.48,28.56,0.92,924.07,-1.03,N
PRV0123,Synthetic Provider Organization 123,Dermatology,NORTH,CTR014,FFS,79,312963.71,221087.68,201944.96,7.59,29.36,29.22,0.14,2556.27,1.88,N
PRV0124,Synthetic Provider Organization 124,Dermatology,EAST,CTR018,VALUE_BASED,57,128037.31,98163.51,55008.55,19.3,23.33,23.6,-0.27,965.06,-0.96,N
PRV0125,Synthetic Provider Organization 125,Orthopedics,SOUTH,CTR008,SHARED_SAVINGS,71,155208.51,112625.77,80304.53,15.49,27.44,27.26,0.18,1131.05,-0.67,N
PRV0126,Synthetic Provider Organization 126,Emergency Medicine,WEST,CTR013,FFS,81,212072.82,149766.11,110704.39,8.64,29.38,29.35,0.03,1366.72,-0.25,N
PRV0127,Synthetic Provider Organization 127,Emergency Medicine,SOUTH,CTR009,FFS,87,220149.19,153068.59,98753.91,9.2,30.47,32.29,-1.82,1135.1,-0.66,N
PRV0128,Synthetic Provider Organization 128,Dermatology,EAST,CTR001,SHARED_SAVINGS,82,173194.18,122448.75,111664.29,7.32,29.3,29.73,-0.43,1361.76,-0.25,N
PRV0129,Synthetic Provider Organization 129,Oncology,EAST,CTR009,FFS,74,189113.99,127331.58,102703.39,10.81,32.67,32.29,0.38,1387.88,-0.21,N
PRV0130,Synthetic Provider Organization 130,Orthopedics,EAST,CTR021,VALUE_BASED,65,261142.82,191305.59,124876.14,9.23,26.74,27.61,-0.87,1921.17,0.74,N
PRV0131,Synthetic Provider Organization 131,Primary Care,EAST,CTR003,VALUE_BASED,81,172978.6,146171.53,86994.86,13.58,15.5,15.78,-0.28,1074.01,-0.77,N
PRV0132,Synthetic Provider Organization 132,General Surgery,WEST,CTR012,SHARED_SAVINGS,80,333196.38,238871.87,216764.51,11.25,28.31,25.96,2.35,2709.56,2.15,N
PRV0133,Synthetic Provider Organization 133,Primary Care,WEST,CTR021,VALUE_BASED,77,192614.41,141637.36,111431.5,9.09,26.47,27.61,-1.14,1447.16,-0.1,N
PRV0134,Synthetic Provider Organization 134,Orthopedics,WEST,CTR024,SHARED_SAVINGS,69,173216.39,124170.87,93597.53,8.7,28.31,27.14,1.17,1356.49,-0.26,N
PRV0135,Synthetic Provider Organization 135,Orthopedics,SOUTH,CTR010,VALUE_BASED,83,125209.95,87237.49,56603.88,8.43,30.33,31.99,-1.66,681.97,-1.47,N
PRV0136,Synthetic Provider Organization 136,Behavioral Health,NORTH,CTR001,SHARED_SAVINGS,66,147325.45,102582.94,84068.47,6.06,30.37,29.73,0.64,1273.76,-0.41,N
PRV0137,Synthetic Provider Organization 137,Radiology,EAST,CTR022,FFS,67,155686.11,114510.61,76476.15,10.45,26.45,26.99,-0.54,1141.44,-0.65,N
PRV0138,Synthetic Provider Organization 138,Behavioral Health,EAST,CTR017,VALUE_BASED,64,175415.91,132704.55,111667.67,4.69,24.35,23.12,1.23,1744.81,0.43,N
PRV0139,Synthetic Provider Organization 139,Pediatrics,WEST,CTR013,FFS,77,173744.13,124044.35,101303.15,10.39,28.61,29.35,-0.74,1315.63,-0.34,N
PRV0140,Synthetic Provider Organization 140,Cardiology,NORTH,CTR022,FFS,81,241928.69,180781.86,99578.55,17.28,25.27,26.99,-1.72,1229.36,-0.49,N
PRV0141,Synthetic Provider Organization 141,Primary Care,NORTH,CTR003,VALUE_BASED,75,183816.38,155233.22,134036.26,6.67,15.55,15.78,-0.23,1787.15,0.5,N
PRV0142,Synthetic Provider Organization 142,Oncology,SOUTH,CTR018,VALUE_BASED,80,230234.61,178925.94,126092.27,6.25,22.29,23.6,-1.31,1576.15,0.13,N
PRV0143,Synthetic Provider Organization 143,Radiology,NORTH,CTR021,VALUE_BASED,76,147246.07,101910.68,85856.45,10.53,30.79,27.61,3.18,1129.69,-0.67,N
PRV0144,Synthetic Provider Organization 144,Emergency Medicine,NORTH,CTR010,VALUE_BASED,89,311926.79,208736.39,174662.22,6.74,33.08,31.99,1.09,1962.5,0.82,N
PRV0145,Synthetic Provider Organization 145,General Surgery,EAST,CTR015,SHARED_SAVINGS,69,207432.21,159959.98,128802.18,8.7,22.89,23.78,-0.89,1866.7,0.65,N
PRV0146,Synthetic Provider Organization 146,Radiology,NORTH,CTR021,VALUE_BASED,66,177027.64,125522.62,57857.01,9.09,29.09,27.61,1.48,876.62,-1.12,N
PRV0147,Synthetic Provider Organization 147,Emergency Medicine,SOUTH,CTR014,FFS,63,124152.57,86918.36,61476.96,11.11,29.99,29.22,0.77,975.82,-0.94,N
PRV0148,Synthetic Provider Organization 148,Oncology,SOUTH,CTR007,SHARED_SAVINGS,67,167696.25,114950.17,98624.27,10.45,31.45,29.13,2.32,1472.0,-0.06,N
PRV0149,Synthetic Provider Organization 149,Behavioral Health,WEST,CTR017,VALUE_BASED,69,241879.79,188786.1,157535.31,14.49,21.95,23.12,-1.17,2283.12,1.39,N
PRV0150,Synthetic Provider Organization 150,Behavioral Health,SOUTH,CTR011,FFS,71,377682.28,263842.75,217723.54,12.68,30.14,31.29,-1.15,3066.53,2.78,Y
PRV0151,Synthetic Provider Organization 151,Oncology,SOUTH,CTR023,VALUE_BASED,86,233969.1,193791.03,135860.87,8.14,17.17,16.82,0.35,1579.78,0.13,N
PRV0152,Synthetic Provider Organization 152,Dermatology,NORTH,CTR024,SHARED_SAVINGS,68,159038.98,114113.13,98462.16,22.06,28.25,27.14,1.11,1447.97,-0.1,N
PRV0153,Synthetic Provider Organization 153,Dermatology,WEST,CTR011,FFS,62,271316.48,180272.84,94479.77,9.68,33.56,31.29,2.27,1523.87,0.03,N
